Sentence #	Word	POS	NPOS	Tag	
Sentence: 1	when	R	WRB	O
	i	O	NN	O
	can't	V	VBP	O
	sleep	V	NN	O
	i	O	JJ	O
	start	V	VBP	O
	list	N	VB	O
	the	D	DT	O
	drugs	N	NNS	O
	i	O	VBP	O
	know	V	VBP	O
	if	P	IN	O
	alphabetical	A	JJ	O
	order	N	NN	O
	-	,	:	O
	abciximab	N	NN	O
	,	,	,	O
	acamprosate	N	NN	O
	,	,	,	O
	alendronate..	N	NN	O
	.	,	.	O
	zzzzzz(olpidem	G	NN	O
	,	,	,	O
	opiclone)..	^	NN	O
	.	,	.	O
	0	0	0	O
Sentence: 2	@doctorcaldwell	@	NN	O
	alendronate	N	NN	O
	works	V	NNS	O
	in	P	IN	O
	elderly	A	JJ	O
	.	,	.	O
	intended	V	VBN	O
	benefits	N	NNS	O
	are	V	VBP	O
	relevant	A	JJ	O
	.	,	.	O
	issues	N	NNS	O
	are	V	VBP	O
	compliance/tolerability	N	NN	O
	and	&	CC	O
	life	N	NN	O
	expectancy&gt;	N	VBP	O
	1	$	CD	O
	yr	N	NN	O
	0	0	0	O
Sentence: 3	{1}	$	JJ	O
	alendronate	N	NN	O
	is	V	VBZ	O
	a	D	DT	O
	bisphosphonate	N	NN	O
	used	V	VBN	O
	to	P	TO	O
	treat	V	VB	O
	oseoporosis	^	NN	O
	and	&	CC	O
	paget's	Z	JJ	O
	disease	N	NN	O
	.	,	.	O
	how	R	WRB	O
	should	V	MD	O
	the	D	DT	O
	patient	N	NN	O
	take	V	VB	O
	it	O	PRP	O
	?	,	.	O
	http	U	NN	O
	:	~	:	O
	//t.co/dgu1barbha	G	NN	O
	0	0	0	O
Sentence: 4	apixaban	^	NN	O
	:	,	:	O
	factor	N	NN	O
	xa	G	NNP	O
	inhibitor	N	NN	O
	for	P	IN	O
	stroke	N	NN	O
	prevention	N	NN	O
	in	P	IN	O
	patients	N	NNS	O
	with	P	IN	O
	nonvalvular	^	JJ	O
	atrial	^	JJ	O
	fibrillation	N	NN	O
	.	,	.	O
	0	0	0	O
Sentence: 5	giancarlo	^	NN	O
	agnelli	^	NN	O
	just	R	RB	O
	presented	V	VBN	O
	good	A	JJ	O
	r�sults	N	NNS	O
	of	P	IN	O
