Sentence #	Word	POS	NPOS	Tag	
Sentence: 1	do	V	VBP	O
	you	O	PRP	O
	have	V	VB	O
	any	D	DT	O
	medication	N	NN	O
	allergies?	N	NN	B-ADR
	""asthma!!!""	N	NNP	O
	me:	O	NN	O
	""........""	,	NNP	O
	pt:	N	NN	O
	""no	N	NNP	O
	wait.	V	NN	O
	avelox,	N	NN	O
	that's	L	NN	O
	it!""	O	NN	O
	""so	P	NNP	O
	no	D	DT	O
	other	A	JJ	O
	allergies?""	N	NN	O
	""right!""	A	NNP	O
	*cont	N	NN	O
	0	0	0	O
Sentence: 2	@ashleylvivian	@	JJ	O
	if	P	IN	O
	#avelox	^	NN	O
	has	V	VBZ	O
	hurt	V	VBN	B-ADR
	your	D	PRP$	I-ADR
	liver,	N	NN	I-ADR
	avoid	V	NN	O
	tylenol	N	NN	O
	always,	R	NN	O
	as	P	IN	O
	it	O	PRP	O
	further	A	JJ	O
	damages	N	NNS	O
	liver,	N	VBP	O
	eat	V	NN	O
	grapefruit	N	NN	O
	unless	P	IN	O
	taking	V	VBG	O
	cardiac	A	JJ	O
	drugs	N	NNS	O
	0	0	0	O
Sentence: 3	apparently,	R	NN	O
	baclofen	R	NN	O
	greatly	R	RB	O
	exacerbates	V	VBZ	O
	the	D	DT	O
	""ad""	N	JJ	B-ADR
	part	N	NN	O
	of	P	IN	O
	my	D	PRP$	O
	adhd.	N	JJ	O
	average	A	JJ	O
	length	N	NN	O
	of	P	IN	O
	focus	N	NN	B-ADR
	today:	N	NN	O
	about	P	IN	O
	30	$	CD	O
	seconds.	N	NNS	O
	0	0	0	O
Sentence: 4	pt	N	NN	O
	of	P	IN	O
	mine	O	NN	O
	died	V	VBN	B-ADR
	from	P	IN	O
	cipro	N	JJ	O
	rt	V	NN	O
	@ciproispoison:	G	NNP	O
	@gastromom	@	NN	O
	if	P	IN	O
	only	R	RB	O
	more	A	JJR	O
	doctors	N	NNS	O
	thought	V	VBD	O
	like	P	IN	O
	you!	O	NN	O
	i	O	NN	O
	lost	V	VBD	O
	my	D	PRP$	O
	entire	A	JJ	O
	life	N	NN	O
	to	P	TO	O
	12	$	CD	O
	cipro	N	NNS	O
	pills	N	NNS	O
	0	0	0	O
Sentence: 5	@gastromom	@	VB	O
	the	D	DT	O
	only	A	JJ	O
	pt	N	NN	O
	of	P	IN	O
	mine	O	NN	O
	who	O	WP	O
	ever	R	RB	O
	died	V	VBD	B-ADR
	was	V	VBD	O
	one	$	CD	O
	age	N	NN	O
	21	$	CD	O
	profound	A	NN	O
	autism	N	NN	O
	chronic	N	JJ	O
	underwt	N	JJ	O
	&amp;	N	NN	O
	gi	G	NN	O
	issues,	N	VB	O
	given	V	VBN	O
	lots	N	NNS	O
	of	P	IN	O
	cipro.	N	NN	O
	terrible	A	JJ	O
	0	0	0	O
Sentence: 6	owww.	!	NN	O
	i	O	NN	O
	hurt	V	VBP	O
	my	D	PRP$	O
	foot.	N	NN	O
	&amp;	N	NNP	O
	am	V	VBP	O
	concerned.	A	JJ	O
	1st	A	CD	O
	warning	N	VBG	O
	on	P	IN	O
	cipro	N	NN	O
	is	V	VBZ	O
	tendon	N	JJ	B-ADR
	damage.	N	JJ	I-ADR
	:-/	E	NN	O
	it	O	PRP	O
	certainly	R	RB	O
	wasn't	V	VBZ	O
	a	D	DT	O
	rupture.	N	NN	O
	i'm	L	JJ	O
	sure	A	JJ	O
	i'm	L	NN	O
	just	R	RB	O
	paranoid.	A	VB	O
	0	0	0	O
Sentence: 7	@deadfanclub	@	JJ	O
	@danadelany	@	NN	O
	i	O	NNS	O
	have	V	VBP	O
	a	D	DT	O
	penicillin/	N	NN	O
	keflex	^	NN	O
	allergy	N	NN	O
	so	P	IN	O
	my	D	PRP$	O
	dr	N	NN	O
	writes	V	VBZ	O
	me	O	PRP	O
	10	$	CD	O
	days	N	NNS	O
	of	P	IN	O
	zpack	N	NN	O
	or	&	CC	O
	i'd	L	NN	O
	still	R	RB	O
	be	V	VB	O
	sick	A	JJ	O
	too!	R	NN	O
	sometimes	R	RB	O
	cipro	N	JJ	O
	0	0	0	O
Sentence: 8	@joshuagates	@	NNS	O
	you	O	PRP	O
	forgot	V	VBP	O
	the	D	DT	O
	immodium	^	NN	O
	for	P	IN	O
	when	R	WRB	O
	the	D	DT	O
	cipro	N	NN	O
	kills	V	VBZ	O
	all	X	PDT	O
	the	D	DT	O
	good	A	JJ	O
	bacteria.	N	NN	O
	:)	E	NNP	O
	#travelskills	#	NNS	O
	0	0	0	O
Sentence: 9	@bilgeebiri	@	JJ	O
	oh	!	MD	O
	robitussin	N	VB	O
	dreams	N	NNS	B-ADR
	are	V	VBP	O
	notorious.	A	JJ	O
	although	P	IN	O
	what	O	WP	O
	will	V	MD	O
	really	R	RB	O
	turn	V	VB	O
	'em	O	PRP	O
	into	P	IN	O
	a	D	DT	O
	bunuel	A	JJ	O
	movie	N	NN	O
	is	V	VBZ	O
	cipro.	N	JJ	O
	0	0	0	O
Sentence: 10	#eds	#	NNS	O
	friends!	N	VBP	O
	anybody	N	NN	O
	taken	V	VBN	O
	#cipro?	N	NNP	O
	(antibiotic)	N	NNP	O
	complications??	N	NN	O
	big	A	JJ	O
	side	N	NN	O
	effect	N	NN	O
	is	V	VBZ	O
	tendon	N	RB	B-ADR
	rupture...figured	V	JJ	I-ADR
	my	D	PRP$	O
	dr	N	NN	O
	would	V	MD	O
	know	V	VB	O
	better?	A	NN	O
	0	0	0	O
Sentence: 11	@illtreaturite1	@	NN	O
	fluox	V	VBZ	O
	a	D	DT	O
	friend	N	NN	O
	4	P	CD	O
	years,	N	NN	O
	but	&	CC	O
	switch	V	NN	O
	to	P	TO	O
	cymbalta	^	VB	O
	4	$	CD	O
	anti-depress/pain	N	JJ	O
	control.	N	NN	O
	i	O	NN	O
	ocd	A	VBP	O
	worry.	V	VBP	O
	can't	V	JJ	O
	stop	V	VB	O
	running	V	NN	O
	mind	N	NN	O
	0	0	0	O
Sentence: 12	@lanternlizard	@	RB	O
	cymbalta	N	NN	O
	switch	N	NN	O
	is	V	VBZ	O
	part	N	NN	O
	of	P	IN	O
	what	O	WP	O
	made	V	VBD	O
	me	O	PRP	O
	flip.	V	VB	O
	but	&	CC	O
	any	D	DT	O
	snri	N	NN	O
	with	P	IN	O
	family	N	NN	O
	hx	N	NN	O
	of	P	IN	O
	mania	N	NN	O
	puts	V	VBZ	O
	you	O	PRP	O
	at	P	IN	O
	risk.	N	NN	O
	0	0	0	O
Sentence: 13	@enlightenmentor	@	NN	O
	umm,	!	NN	O
	are	V	VBP	O
	you	O	PRP	O
	being	V	VBG	O
	a	D	DT	O
	smart-ass?	N	JJ	O
	dont	V	NN	O
	mess	V	NN	O
	with	P	IN	O
	me	O	PRP	O
	right	R	JJ	O
	now.	R	NN	O
	going	V	VBG	O
	through	P	IN	O
	cymbalta	^	NN	O
	withdrawal	N	NN	B-ADR
	i	O	NN	O
	think	V	VBP	O
	&amp;	N	NNP	O
	im	L	VBP	O
	very	R	RB	O
	depressed.	A	JJ	O
	0	0	0	O
Sentence: 14	today	N	NN	O
	i'm	L	VBP	O
	an	D	DT	O
	emotional	A	JJ	B-ADR
	mess.	N	NN	I-ADR
	that's	L	VBD	O
	what	O	WP	O
	happens	V	VBZ	O
	when	R	WRB	O
	i	O	JJ	O
	think	V	VBP	O
	i	O	NN	O
	could	V	MD	O
	wean	V	VB	O
	myself	O	PRP	O
	off	P	IN	O
	of	P	IN	O
	cymbalta.	N	NN	O
	0	0	0	O
Sentence: 15	losing	V	VBG	O
	it.	O	NN	O
	could	V	MD	O
	not	R	RB	B-ADR
	remember	V	VB	I-ADR
	the	D	DT	O
	word	N	NN	O
	power	N	NN	O
	strip.	N	NN	O
	wonder	V	NN	O
	which	D	WDT	O
